,case_id,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,case_violtn_cnt,cmp_assd_cnt,ee_violtd_cnt,bw_atp_amt,ee_atp_cnt,findings_start_date,findings_end_date,flsa_violtn_cnt
37,1803789,Sweet World Pastry,"Sweet World Pasty, Inc",5450 N. Milwaukee Ave,Chicago,IL,60630,1,0,0,0,0,2014-10-20,2016-10-19,1
406,1372925,The Art Institute of Chicago,The Art Institute of Chicago,116 South Michigan Avenue.,Chicago,IL,60603,0,0,1,0,0,2003-11-24,2004-10-21,0
502,1628439,Valet Parking Service VPS,"VPS of Illinois, LLC",2370 N. Elston Avenue,Chicago,IL,60614,2,0,1,1741.63,1,2010-05-30,2010-09-20,2
817,1687033,Los Comales #3,"MGL ENTERPRISES, INC.",1544 W 18th St,Chicago,IL,60608,5,0,3,5562.97,3,2011-02-14,2013-02-10,5
1489,1501535,"City of Chicago, Dept. of Housing","City of Chicago, Dept. of Housing","33 N. LaSalle, 11th floor",Chicago,IL,60602,1,0,1,0,0,2007-10-03,2007-10-29,0
1754,1503210,Staff Manangement,Seaton Corp.,860 W. Evergreen,Chicago,IL,60622,0,0,0,0,0,2006-09-01,2007-12-31,0
1791,1503211,Elite Staffing,"Elite Labor Services, LTD.",1400 W. Hubbard,Chicago,IL,60622,0,0,0,0,0,2006-01-01,2007-12-31,0
1811,1503284,Fillip Metal Cabinet Co. Inc.,Fillip Metal Cabinet Co. Inc.,701 N Albany Ave,Chicago,IL,60612,1,0,1,0,0,2006-03-11,2008-03-10,0
1845,1503659,Danny's Food Mart,"Danny's Food Mart, Inc.",5458 South Wells,Chicago,IL,60649,1,0,0,0,0,2007-02-02,2008-01-29,1
2272,235834,"Alden Management Services,Inc.","Alden Management Services, Inc.",4200 W. Peterson,Chicago,IL,60646,119,40000,119,1041759.03,119,1992-01-09,1996-11-18,0
2560,1328786,Pioneer Coach Lines,"Pioneer Coach Lines, Inc.","6321 N Avondale, Suite 216",Chicago,IL,60631,14,0,13,13974.5,13,2003-01-20,2009-09-10,14
2567,1332388,JF Labs,"JF Labs, Inc.",7401 S. Pulaski,Chicago,IL,60652,198,0,172,31143.17,172,2002-05-04,2007-02-02,198
2596,1490853,"Marstech Solutions, Inc.","Marstech Solutions, Inc.","850 W. Jackson Blvd., Suite 650",Chicago,IL,60607,6,0,6,23070.89,6,2005-09-24,2007-09-22,0
2835,1516657,"Brownstone Construction, LLC","Brownstone Construction, LLC","2500 W. Roosevelt Rd., Suite 300",Chicago,IL,60608,3,0,2,4094.02,2,2007-10-01,2008-01-15,0
3444,1377877,City of Chicago Mayor's Office of Workplace,City of Chicago Mayor's Office of Workplace,121 N. LaSalle,Chicago,IL,60601,0,0,1,0,0,2004-03-02,2004-03-25,0
3572,1518966,Midwest & Chicago Construction Corporation,Midwest & Chicago Construction Corporation,3545 N. Natoma,Chicago,IL,60634,0,0,0,0,0,2006-07-22,2008-07-21,0
3578,1436681,Houston & Associates,"Houston & Associates Protective Services, Inc",8211 S. Exchange,Chicago,IL,60617,64,0,64,37197.19,64,2005-01-23,2007-04-06,64
3699,1519468,Allpoints Security & Detective Agency,"Allpoints Security and Detective, Inc.",2112 E.71st Street,Chicago,IL,60649,1,0,1,0,0,2008-03-15,2008-08-20,0
3706,1375410,Prime Acceptance Corporation,"Prime Acceptance Corporation, Inc.","200 West Jackson Blvd, Suite 710",Chicago,IL,60606,2,0,1,0,0,2004-08-02,2004-12-21,0
4164,1480236,Pizza Ria Financial,"Pizza Ria Financial, LLC",510 N Hartland Ct,Chicago,IL,60622,41,0,39,32513.76,39,2005-08-01,2007-08-01,41
4341,1509145,John H. Stroger Jr. Hospital of Cook County,"John H. Stroger, Jr. Hospital of Cook County",749 South Winchester,Chicago,IL,60612,1,0,1,0,0,2007-07-10,2008-04-30,0
4422,1531321,Byron's Hot Dogs,"Byronskitchen, Inc.",1017 W. Irving Park Rd,Chicago,IL,60613,10,0,9,2038.82,9,2007-01-01,2007-12-31,10
4687,1515248,Hispanic Regional Clinic,"Hispanic Regional Clinics, S.C.",5544 W. Belmont,Chicago,IL,60641,22,0,21,20387.55,21,2006-06-21,2008-05-28,22
4947,1508803,Accenture LLP,Accenture LLP,161 N. Clark St.,Chicago,IL,60601,0,0,0,0,0,2006-02-08,2008-02-07,0
5598,1759821,Currency Exchange,69th St. Currency Exchange Inc,6858 S Ashland,Chicago,IL,60636,0,0,0,0,0,2013-05-12,2015-05-09,0
5733,1523560,Provident Hospital of Cook County,Provident Hospital of Cook County,500 E. 51st St.,Chicago,IL,60615,1,0,1,0,0,2008-06-01,2008-10-17,0
5781,1511181,D'Amato's,D'Amato's Bakery #1,1125 W Grand,Chicago,IL,60622,23,0,22,96446.57,22,2006-05-01,2008-04-30,23
5932,1750994,"GSHA Services, LTD",GSHA Services LTD,6240 W. Grace,Chicago,IL,60634,0,0,0,0,0,2013-02-26,2015-02-25,0
6110,1456809,"Grand Amoco Car Wash, Inc","Grand Amoco Car Wash, Inc",4400 W North Ave,Chicago,IL,60639,6,0,5,13021.12,5,2004-11-06,2006-11-06,6
6254,1518560,"Maxi Maintenex, Inc.","Maxi Maintenex, Inc.",5740 N. Elston Ave,Chicago,IL,60646,11,0,7,11207,7,2006-07-12,2008-07-11,11
6361,1513417,"Telecom General Contractors, Inc","Telecom General Contractors, Inc.",300 W Adams,Chicago,IL,60606,20,0,20,15636.89,20,2006-05-04,2008-05-03,20
6362,1513418,Alliance Air,"International Cargo Marketing, Inc.",O'Hare Airport,Chicago,IL,60666,92,0,92,15292.54,92,2006-05-12,2008-05-11,92
6702,1557215,"Rainbow Beach QOA, LLC","Rainbow Beach Care QOC, LLC",7325 S. Exchange Ave.,Chicago,IL,60649,110,0,110,46752.88,110,2007-09-14,2009-09-13,110
6894,1738298,"Care Communications, Inc.","Care Communications, Inc.","205 W. Wacker Drive, Ste. 1900",Chicago,IL,60606,93,0,93,208998.3,93,2012-09-27,2014-09-25,93
7835,1607125,Blue Angel,"Blue Angel, Inc",5310 N. Milwaukee,Chicago,IL,60630,18,0,11,31255.81,11,2010-06-06,2011-04-10,18
7860,1541662,Notlem Group Inc,"Notlem Group, Inc.",646 E 43rd St,Chicago,IL,60653,0,0,0,0,0,2007-04-08,2009-04-05,0
8146,1745400,CVR Associates,CVR Housing Services Corporation,"60 E Van Buren St, 8th Floor",Chicago,IL,60605,78,0,77,184803.81,73,2012-12-19,2014-12-12,78
8149,1688648,Riviera Nayarit,"Azteca Tacos Restaurant, Inc.",1514 W. 18th St,Chicago,IL,60608,0,0,0,0,0,2011-04-02,2013-03-30,0
8173,1644353,Rio's D'Sudamerica,"Rio's De Sudamerica, Inc",2010-12 W. Armitage Ave.,Chicago,IL,60647,11,0,10,29660.84,10,2010-03-20,2012-03-17,11
8180,1645903,Little Village Car Wash,Little Village Car Wash Inc.,2600 W. Cermak Road,Chicago,IL,60608,21,0,14,27417.52,14,2010-02-12,2012-02-11,21
8415,1586613,Lincoln Park Cleaners,Lincoln Park Cleaners,659 W. Armitage,Chicago,IL,60614,0,0,0,0,0,2008-06-01,2010-06-01,0
8741,1610147,Joe and Frank's Market,Joe and Frank's Sausage,7147 W. Archer Avenue,Chicago,IL,60638,75,4650,72,42277.12,69,2009-03-14,2011-03-12,69
8870,1733879,Eleven twelve Communications,"Eleven Twelve Communications, LLC",2600 West 35th Street,Chicago,IL,60632,0,0,0,0,0,2014-06-24,2014-07-22,0
8964,1407741,"Loss Prevention, Inc.","LOss Prevention, Inc.",3315 S. Halsted,Chicago,IL,60608,0,0,0,0,0,2005-03-31,2005-06-30,0
8966,1443239,Jewel Food Store,Albertson's,4250 N. Lincoln,Chicago,IL,60618,0,0,2,0,0,2005-03-01,2006-05-01,0
9436,1649839,Mufflers for Less Laramie,"Mufflers 4 Less III, Inc.",2604 N. Laramie,Chicago,IL,60639,7,0,7,62587.6,7,2009-03-23,2011-03-22,7
9479,1396590,LVL,"Larry Vassar Leasing, Inc",4917 N. Greenhurst,Chicago,IL,60640,9,0,5,11494.47,5,2003-04-03,2005-03-31,0
