,address,aka_name,city,dba_name,facility_type,inspection_date,inspection_id,inspection_type,latitude,license_,location,location_address,location_city,location_state,location_zip,longitude,results,risk,state,violations,zip
0,5337 W BELMONT AVE ,CATALINA PIZZERIA,CHICAGO,CATALINA PIZZERIA,Restaurant,2018-02-02T00:00:00.000,2144506,Canvass Re-Inspection,41.9385394320182,2385764,POINT (-87.760630800781 41.938539432018),,,,,-87.7606308007806,Pass,Risk 1 (High),IL,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: CORRECTED (RODENT DROPPINGS HAS BEEN REMOVED). | 21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: CORRECTED (CERTIFIED MANAGER ON SITE) | 28. * INSPECTION REPORT SUMMARY DISPLAYED AND VISIBLE TO ALL CUSTOMERS - Comments: CORRECTED (SUMMARY REPORT HAS BEEN POSTED). | 29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments: CORRECTED (PREVIOUS MINOR VIOLATIONS HAS BEEN CORRECTED). | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments:  INSTRUCTED TO REPAINT EXTERIOR TOP SURFACES OF GREASE BOX WITH RUST ACCUMULATION UNDERNEATH 3 COMPARTMENT SINK.  | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CORRECTED | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: CORRECTED | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: CORRECTED",60641
1,5009 N WINTHROP AVE ,HON KEE BBQ & SEAFOOD RESTARUANT,CHICAGO,HON KEE BBQ & SEAFOOD RESTAURANT INC,Restaurant,2018-01-09T00:00:00.000,2144505,License,41.97359428724067,2564377,POINT (-87.657594877868 41.973594287241),,,,,-87.65759487786819,Pass,Risk 1 (High),IL,,60640
2,2829 N MILWAUKEE AVE ,TAQUERIA EL RANCHITO,CHICAGO,TAQUERIA EL RANCHITO,Restaurant,2018-02-02T00:00:00.000,2144504,Canvass Re-Inspection,41.932656936605575,60184,POINT (-87.713056101164 41.932656936606),,,,,-87.71305610116421,Pass,Risk 1 (High),IL,"31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: OBSERVED CUPS USED TO DISPENSE FOOD IN THE CONTAINERS OF CHEESE AND GIARDINNARA IN THE COLD HOLDING REFRIGERATION UNIT. INSTRUCTED TO USE HANDLED SCOOPS TO DISPENSE FOOD AND TO STORE HANDLED SCOOPS EITHER IN THE FOOD WITH THE HANDLE FACING UP OUT OF THE FOOD OR IN A SEPARATE CONTAINER IN BETWEEN USE. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST DETAIL CLEAN THE FOOD SPLATTER ON THE WALLS BEHIND THE HOT HOLDING UNITS AND THE REFRIGERATION UNITS ACROSS THE COOKING EQUIPMENT ON THE LINE. 
 | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: OBSERVED MISSING LIGHT SHIELDS ABOVE THE PREP AREA IN THE KITCHEN. INSTRUCTED TO PROVIDE MISSING SHIELDS TO PROTECT LIGHT FIXTURES AT ALL TIMES.",60618
3,1737 E 95TH ST ,NEW LITTLE CHINA,CHICAGO,NEW LITTLE CHINA,Restaurant,2018-02-02T00:00:00.000,2144502,Canvass,41.72228503083544,1844410,POINT (-87.581071665955 41.722285030835),,,,,-87.58107166595508,Pass,Risk 1 (High),IL,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN AND MAINTAIN THE FOLLOWING:  INTERIORS OF ALL REFRIGERATION UNITS, SHELVES INSIDE OF THE WALK-IN COOLER, PREP TABLE (TOPS AND BOTTOMS), CAN OPENER BLADE AT PREP TABLE, EXTERIOR SURFACES OF ALL COOKING EQUIPMENT (WOKS,FRYERS,RICE COOKERS) BOTTOMS OF FRYERS AND STORAGE SHELVES UNDER FRONT COUNTER. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST CLEAN FLOORS UNDER AROUND AND BEHIND ALL KITCHEN AND COOKING EQUIPMENT AND MAINTAIN.  ALSO CLEAN INSIDE OF WALK-IN COOLER UNDER SHELVES. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: THE WALLS, CEILING TILE, CEILING VENTS AND WALL VENTS NEED CLEANING.  THE VENTS IN THE HOODED SYSTEM ABOVE THE COOKING EQUIPMENT NEED CLEANING.  THE BACK SPLASH BEHIND THE WOK STATION NEEDS CLEANING.  CLEAN AND MAINTAIN ALL WALLS, CEILILNG TILE AND VENTS.  | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: OBSERVED LEAKING FROM THE FAUCET NECK AT THE THREE COMP SINK; REPAIR THE LEAK AT THE FAUCET. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: SOME AREAS OF RESTAURANT CLUTTERED WITH ITEMS; REMOVE UNNECESSARY ITEMS. | 39. LINEN: CLEAN AND SOILED PROPERLY STORED - Comments: INSTRUCTED TO STORE ALL WIPING CLOTHS IN A CLEAN SANITIZING SOLUTION WHEN NOT IN USE.",60617
4,10655 S HALSTED ST ,GOLO,CHICAGO,GOLO,Grocery Store,2018-02-02T00:00:00.000,2144496,Complaint,41.69984692838077,1974172,POINT (-87.642467301253 41.699846928381),,,,,-87.64246730125315,Pass,Risk 3 (Low),IL,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN INTERIOR AND EXTERIOR OF EXPOSED SINK, 3-COMPARTMENT SINK, COOLERS, FREEZERS, BEVERAGE MACHINES, DISPLAY SHELVES. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CLEAN FLOORS ALONG WALLS AND IN ALL CORNERS IN SALES AND STORAGE AREAS. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: SECURE LOOSE VENTILATION FAN IN WASHROOM. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: INSTALL UTILITY SINK FOR PROPER WASTE WATER DISPOSAL. PROVIDE ADEQUATE STOPPERS FOR 3-COMPARTMENT SINK. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: ELEVATE ALL STOCK OFF FLOOR AND AWAY FROM WALL IN STORAGE AREAS FOR EASY CLEANING AND PEST CONTROL.",60628
5,3144 W DEVON AVE ,DOMINO'S PIZZA,CHICAGO,DOMINO'S PIZZA,Restaurant,2018-02-02T00:00:00.000,2144494,Suspected Food Poisoning,41.9975096365926,35407,POINT (-87.708715609551 41.997509636593),,,,,-87.70871560955085,Pass w/ Conditions,Risk 2 (Medium),IL,"16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: INADEQUATE FOOD PROTECTION IN FOOD PREPARATION AREA. OBSERVED A HALF DOZEN RAW EGGS ON METAL RACK SHELVING BEING STORED ABOVE REAR FOOD PREP TABLE. EGGS ARE NOT ON THE DOMINO'S MENU OR A FOOD PROVIDED FROM THE DOMINO'S COMMISSARY WHERE ALL OTHER MENU ITEMS ARE OBTAINED. MANAGEMENT STATES THE EGGS BELONGED TO AN EMPLOYEE FOR PERSONAL CONSUMPTION. INSTRUCTED THAT NO POTENTIALLY HAZARDOUS FOODS SHOULD BE IMPROPERLY STORED IN FOOD PREP AREAS AT ANY TIME. EGGS REMOVED AND DISCARDED. SERIOUS VIOLATION 7-38-005(A). | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: ALL STORED ITEMS UNDER METAL RACK SHELVING IN FRONT MUST BE STORED ELEVATED FROM THE FLOORS 6' OR ABOVE. | 42. APPROPRIATE METHOD OF HANDLING OF FOOD (ICE) HAIR RESTRAINTS AND CLEAN APPAREL WORN - Comments: ALL FOOD PREPARERS/HANDLERS MUST WEAR HAT/HAIR AND BEARD RESTRAINTS. | 31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: CLEAN PIZZA PANS AND TRAYS MUST NOT BE STORED ON SHELVING NEXT TO CLEANING CHEMICALS. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: OBSERVED FOOD ENCRUSTED TABLE TOP CAN OPENER. MUST CLEAN AFTER EACH USE. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: OBSERVED FOOD ENCRUSTED COMPUTER KEYBOARD THAT PIZZA MAKERS USE TO INDICATE AN ORDERED PIZZA HAS BEEN PREPARED. MUST CLEAN AND MAINTAIN. | 45. FOOD HANDLER REQUIREMENTS MET - Comments: NO PROOF OF TRAINING FOR ALL FOOD HANDLERS ON SITE. MUST PROVIDE.",60659
6,1948 E 79TH ST ,BANANA LEAF,CHICAGO,THE LEAF RESTAURANT COMPANY,Restaurant,2018-02-02T00:00:00.000,2144492,Canvass,41.75171043268835,2359869,POINT (-87.576468628965 41.751710432688),,,,,-87.5764686289653,Out of Business,Risk 1 (High),IL,,60649
7,3933 N BROADWAY ,FUSION 58,CHICAGO,FUSION 58,Restaurant,2018-02-02T00:00:00.000,2144490,License Re-Inspection,41.95377882546025,2575103,POINT (-87.649859556669 41.95377882546),,,,,-87.64985955666889,Pass,Risk 1 (High),IL,"11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: VIOLATION CORRECTED
EXPOSED HAND SINK INSTALLED AT FRONT PREP AREA,ALSO SOAP AND PAPER TOWELS PROVIDED | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: RAW WOOD ABOVE THE MOP SINK SURFACE POROUS NOT CLEANABLE.SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT SURFACE. REMOVE DUSTY UNUSED DRAIN HOSE ATTACHED FROM AIR CONDITION VENT UNIT IN PREP AREA. WOOD STAIRCASE THAT GOES IN BASEMENT FOR SYRUP JUICE BOXES STORAGE AREA,IN POOR REPAIR/UNSTEADY,SLIPPERY.INSTRUCTED TO REPAIR SAID STAIRCASE RUSTY AT BOTTOM AND LID OF THE GREASE TRAP,UNABLE TO CLEAN,NEED TO REPAINT,ALSO CAULKIN BASE OF SAID UNIT. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: DEBRIS ON FLOOR AROUND HOT WATER TANK,BEHIND GREASE TRAP AND BASEMENT FLOOR WERE JUICE BOXES ARE INSTALLED | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: HOLES ON CEILING TILES AND AROUND PIPES IN PREP AREA. LARGE OPENING BETWEEN THE CEILING TILE/WALL AND AIR CONDITION VENTILATION ABOVE 1 COMPARTMENT SINK, NEED TO REPAIR/SEAL MENTIONED AREAS. POROUS CEILING IN BASEMENT ABOVE THE SYRUP JUICE BOXES,INSTRUCTED TO REPLACE/REPAIR,ALSO SEAL WALLS AT SAME AREA,BRICK DEBRIS.SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT SURFACE. MISSING PANELS ABOVE WALK-IN FREEZER,INSTRUCTED TO PROVIDE. PROVIDE CAULKING BETWEEN THE WALL AND EXPOSED HAND SINK AT REAR AREA. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: NO LIGHT PROVIDED AT BASEMENT ROOM AT SYRUP JUICE BOXES AREA,NEED TO PROVIDE. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MECHANICAL DRAIN AT THREE COMPARTMENT SINK LEAKING INSTRUCTED TO REPAIR OR PROVIDE WORKING STOPPERS DRAIN PIPE UNDER THE ONE COMPATMENT SINK IS LEAKING INSTRUCTED TO REPAIR CAUSE.",60613
8,4256 W FULLERTON AVE ,EL TACONAZO JR.,CHICAGO,EL TACONAZO JR.,Restaurant,2018-02-02T00:00:00.000,2144489,Canvass,41.92450769084945,2354772,POINT (-87.733980325653 41.924507690849),,,,,-87.73398032565292,Pass w/ Conditions,Risk 1 (High),IL,"3. POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE - Comments: OBSERVED IMPROPER TEMPERATURES OF POTENTIALLY HAZARDOUS FOODS STORED ON FOOD PREP TABLE IN FRONT FOOD PREP AREA SUCH AS 25 LBS IF COOKED BEEF AT 83.8F AND 20 LBS OF COOKED CORN RICE AT 97.9F.  
MANAGER DISCARDED SAID FOOD AND STATED TOTAL COST OF FOOD IS $150.00. 
INSTRUCTED TO COOL DOWN COOKED FOODS RAPIDLY FROM 140F TO 40 F WITHIN 6 HOURS AND MAINTAIN IN COLD HOLDING TEMPERATURE AT 40 F OR BELOW OR HOT HOLDING FOODS AT 140 F OR ABOVE.

CRITICAL VIOLATION: 7-38-005 (A) | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: OBSERVED WORN CUTTING BOARD WITH DARK GROOVE IN FRONT FOOD PREP AREA BY THE EXPOSED HAND SINK. INSTRUCTED TO REPLACE/REPAIR AND MAINTAIN. 

OBSERVED DUST BUILD UP ON FAN GUARD INSIDE WALK-IN FREEZER AND COOLER IN STORAGE ROOM. INSTRUCTED TO CLEAN AND MAINTAIN.

 | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: OBSERVED BROKEN SPLASH GUARD AT THE EXPOSED HAND SINK NEXT TO CUTTING BOARD AT FRONT FOOD PREP AREA. INSTRUCTED TO REPAIR/REPLACE AND MAINTAIN. 

 | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: OBSERVED MISSING THERMOMETERS FROM COOLERS LOCATED AT FRONT DINING AREA, 2-DOOR REFRIGERATOR IN FRONT FOOD PREP AREA AND BROKEN THERMOMETER IN WALK-IN COOLER IN STORAGE ROOM. 
INSTRUCTED TO PROVIDE AND MAINTAIN.  | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: OBSERVED FOOD DEBRIS BUILD UP ON SHELVES INSIDE 2-DOOR COOLER DOOR LOCATED AT FRONT FOOD PREP AREA. INSTRUCTED TO CLEAN, SANITIZE AND MAINTAIN.

OBSERVED GREASE BUILD UP ON SHELF ABOVE REACH-IN COOLER IN FRONT COOK LINE. INSTRUCTED TO CLEAN AND MAINTAIN.  | 43. FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED - Comments: OBSERVED WIPING TOWELS/CLOTHS ON TOP OF CUTTING BOARDS AND FOOD PREP TABLES IN FRONT FOOD PREP AREA. 
INSTRUCTED TO STORE WIPING TOWEL/CLOTHS IN PROPER SANITIZER SOLUTION.  | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: OBSERVED MISSING LIGHT SHIELD INSIDE WALK-IN COOLER IN STORAGE ROOM. INSTRUCTED TO PROVIDE AND MAINTAIN. ",60639
9,802 W BELMONT AVE ,POKE POKE,CHICAGO,POKE POKE,Restaurant,2018-02-02T00:00:00.000,2144487,License Re-Inspection,41.94008901097665,2574871,POINT (-87.649391254566 41.940089010977),,,,,-87.6493912545656,Fail,Risk 1 (High),IL,"2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: FREEZERS AT BASEMENT TURNED ON BELOW 0F. | 11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: FOUND 2 EXPOSED HAND SINKS INSTALLED AT BASEMENT PREPARATION AREAS AND BASEMENT DISHWASHING AREAS. | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: CONSUMER ADVISORY, REGARDING CONSUMPTION OF RAW OR UNDERCOOKED FOODS OF ANIMAL ORIGIN, NOT POSTED. PROVIDED COPY TO POST. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: REMOVE SOAP DISPENSER BY THE SOUTH WALL ABOVE THREE COMPARTMENT SINK.RELOCATE BY EXPOSED HAND SINK | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments:  REMOVE PUTTY FROM DRAINS INSIDE THE THREE COMPARTMENT SINK. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments:  BROKEN CEMENT FLOOR INSIDE THE STORAGE AREA BEHIND THE EXPOSED HAND SINK,FIRST FLOOR. DEBRIS ON FLOOR IN BASEMENT AREA BY THE THREE COMPARTMENT SINK,AND BEHIND THE WALK-IN COOLER.ALSO INSIDE THE HOT WATER TANK STORED INSIDE THE CLOSET(BY METAL SHELVES).REMOVE DEBRIS AT ELECTRICAL ROOM BEHIND THE FENCE/PARTITION OF PREP AREA.BY THE SUMP PUMP. REMOVE DEBRIS AT FOOD STORAGE IN BASEMENT FLOOR MUST BE FREE OF DEBRIS,AND SMOOTH CLEANABLE AND NON-ABSORBENT SURFACE | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments:  MISSING WALL UNDER THE THREE COMPARTMENT(BASEMENT) SINK,ALSO BEHIND THE PLUMBING OF MOP SINK,WALL MUST BE EXTEND TO THE WALL DIVIDED. CEILING WALL AT PREP AREA AND STORAGE AREA CRUMBLES,NO SMOOTH.INSTRUCTED TO PROVIDE A CEILING WALL WITH SMOOTH,CLEANABLE AND NON-ABSORBENT SURFACE | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: STEM THERMOMETER IS NEEDED. TO BE ABLE TO CHECK FOOD TEMPERATURE
 | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: NEED TO INSTALL ONE COMPARTMENT SINK AT FIRST FLOOR PREP AREA, ALSO AT PREP AREA IN BASEMENT. NEED TO PROVIDE SPLASH GUARD IF EXPOSED HANS SINK IS ATTACHED TO THREE COMPARTMENT SINK.SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT SURFACE. | 16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: BASEMENT FOOD PREP AREA FOR THIS ADDRESS IS IN A SHARED COMMON AREA WITH THE PREMISES NEXT DOOR (800 W. BELMONT) SEPARATED BY A UNLOCKED CHAIN LINK FENCE. OPERATOR MUST PROVIDE SEPARATE, PROPERLY PROTECTED FOOD PREPARATION SPACE FOR THIS ADDRESS OR PROVIDE DOCUMENTATION THAT THE CHICAGO DEPARTMENT OF PUBLIC HEALTH HAS APPROVED THE USE OF THIS FOOD PREPARATION AREA. SERIOUS VIOLATION 7-38-005(A). | 11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: EMPLOYEE AND CUSTOMER WASHROOM FACILITIES FOR THIS ADDRESS ARE LOCATED IN THE PREMISES NEXT DOOR (800 W. BELMONT). OPERATOR MUST PROVIDE SEPARATE WASHROOM FACILITIES FOR THIS ADDRESS, OR PROVIDE DOCUMENTATION THAT THE CHICAGO DEPARTMENT OF PUBLIC HEALTH HAS APPROVED THE USE OF THESE SHARED WASHROOMS. CRITICAL VIOLATION: 7-38-030.  | 24. DISH WASHING FACILITIES: PROPERLY DESIGNED, CONSTRUCTED, MAINTAINED, INSTALLED, LOCATED AND OPERATED - Comments:  DISH WASHING FACILITIES (3 COMPARTMENT SINK) FOR THIS ADDRESS ARE IN A SHARED COMMON SPACE IN THE BASEMENT WITH THE PREMISES NEXT DOOR (800 W. BELMONT). OPERATOR MUST PROVIDE SEPARATE DISH WASHING FACILITIES FOR THIS ADDRESS, OR PROVIDE DOCUMENTATION THAT THE CHICAGO DEPARTMENT OF PUBLIC HEALTH HAS APPROVED THE USE OF THESE COMMON AREA DISH WASHING FACILITIES. SERIOUS VIOLATION: 7-38-030. | 9. WATER SOURCE: SAFE, HOT & COLD UNDER CITY PRESSURE - Comments: FOUND NO HOT AND COLD RUNNING WATER UNDER CITY PRESSURE AT BUSINESS.CRITICAL VIOLATION.  7-38-030. MUST PROVIDE.",60657
