case_id,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,case_violtn_cnt,latitude,longitude
1803789,Sweet World Pastry,"Sweet World Pasty, Inc",5450 N. Milwaukee Ave,Chicago,IL,60630,1,41.9805069,-87.7725167
1372925,The Art Institute of Chicago,The Art Institute of Chicago,116 South Michigan Avenue.,Chicago,IL,60603,0,41.8802259,-87.6249564
1628439,Valet Parking Service VPS,"VPS of Illinois, LLC",2370 N. Elston Avenue,Chicago,IL,60614,2,41.9245165,-87.6772031
1687033,Los Comales #3,"MGL ENTERPRISES, INC.",1544 W 18th St,Chicago,IL,60608,5,41.857724,-87.665639
1501535,"City of Chicago, Dept. of Housing","City of Chicago, Dept. of Housing","33 N. LaSalle, 11th floor",Chicago,IL,60602,1,41.8829,-87.6321
1503210,Staff Manangement,Seaton Corp.,860 W. Evergreen,Chicago,IL,60622,0,41.9019,-87.6779
1503211,Elite Staffing,"Elite Labor Services, LTD.",1400 W. Hubbard,Chicago,IL,60622,0,41.9019,-87.6779
1503284,Fillip Metal Cabinet Co. Inc.,Fillip Metal Cabinet Co. Inc.,701 N Albany Ave,Chicago,IL,60612,1,41.8938292,-87.7034742
1503659,Danny's Food Mart,"Danny's Food Mart, Inc.",5458 South Wells,Chicago,IL,60649,1,41.762,-87.5703
235834,"Alden Management Services,Inc.","Alden Management Services, Inc.",4200 W. Peterson,Chicago,IL,60646,119,41.993,-87.7596
1328786,Pioneer Coach Lines,"Pioneer Coach Lines, Inc.","6321 N Avondale, Suite 216",Chicago,IL,60631,14,41.9951,-87.8082
1332388,JF Labs,"JF Labs, Inc.",7401 S. Pulaski,Chicago,IL,60652,198,41.7454,-87.7135
1490853,"Marstech Solutions, Inc.","Marstech Solutions, Inc.","850 W. Jackson Blvd., Suite 650",Chicago,IL,60607,6,41.877998,-87.648745
1516657,"Brownstone Construction, LLC","Brownstone Construction, LLC","2500 W. Roosevelt Rd., Suite 300",Chicago,IL,60608,3,41.866883,-87.676253
1377877,City of Chicago Mayor's Office of Workplace,City of Chicago Mayor's Office of Workplace,121 N. LaSalle,Chicago,IL,60601,0,41.8858,-87.6181
1518966,Midwest & Chicago Construction Corporation,Midwest & Chicago Construction Corporation,3545 N. Natoma,Chicago,IL,60634,0,41.9463,-87.8061
1436681,Houston & Associates,"Houston & Associates Protective Services, Inc",8211 S. Exchange,Chicago,IL,60617,64,41.7257,-87.556
1519468,Allpoints Security & Detective Agency,"Allpoints Security and Detective, Inc.",2112 E.71st Street,Chicago,IL,60649,1,41.7660318,-87.5715683
1375410,Prime Acceptance Corporation,"Prime Acceptance Corporation, Inc.","200 West Jackson Blvd, Suite 710",Chicago,IL,60606,2,41.87811,-87.634462
1480236,Pizza Ria Financial,"Pizza Ria Financial, LLC",510 N Hartland Ct,Chicago,IL,60622,41,41.8913509,-87.6714338
1509145,John H. Stroger Jr. Hospital of Cook County,"John H. Stroger, Jr. Hospital of Cook County",749 South Winchester,Chicago,IL,60612,1,41.8805,-87.6873
1531321,Byron's Hot Dogs,"Byronskitchen, Inc.",1017 W. Irving Park Rd,Chicago,IL,60613,10,41.9543271,-87.6553128
1515248,Hispanic Regional Clinic,"Hispanic Regional Clinics, S.C.",5544 W. Belmont,Chicago,IL,60641,22,41.9453,-87.7474
1508803,Accenture LLP,Accenture LLP,161 N. Clark St.,Chicago,IL,60601,0,41.8848992,-87.630473
1759821,Currency Exchange,69th St. Currency Exchange Inc,6858 S Ashland,Chicago,IL,60636,0,41.776,-87.6674
1523560,Provident Hospital of Cook County,Provident Hospital of Cook County,500 E. 51st St.,Chicago,IL,60615,1,41.8034476,-87.6142921
1511181,D'Amato's,D'Amato's Bakery #1,1125 W Grand,Chicago,IL,60622,23,41.9019,-87.6779
1750994,"GSHA Services, LTD",GSHA Services LTD,6240 W. Grace,Chicago,IL,60634,0,41.9463,-87.8061
1456809,"Grand Amoco Car Wash, Inc","Grand Amoco Car Wash, Inc",4400 W North Ave,Chicago,IL,60639,6,41.9100222,-87.736697
